song_title,lyrics
edge of the world,"Can I swallow the soil,. Make it all beautiful?. Can I carry it, carry it, carry it now?. The truth can't bare the sunlight.. You're afraid for the day it does.. Hell when I told you so,. I got burn, burn, burned again.. Heaven forbid that my heart is forsaken.. Hope in the end truth prevails.. I'm gonna run to the edge of the world, run to the edge of the world.. Feel that I'm gonna get home if I try.. I'm gonna run to the edge of the world, run to the edge of the world.. Need to find my way home, home.. He earns fire as a god. But I believed in your heart. And I'm leaving you, leaving you, leaving you now.. The truth can't bare the sunlight.. And don't pretend to be my guide.. Heard you said you'd change it over. But I got burn, burn, burned instead.. Heaven can wait cause my soul is forsaken.. Hope in the end truth prevails.. [2x]. I'm gonna run to the edge of the world, run to the edge of the world.. Feel that I'm gonna get home if I try.. I'm gonna run to the edge of the world, run to the edge of the world.. Need to find my way home, home.. Just to fall out, no more rain.. Once upon a time."
enter,"Welcome to my home. The gates of time have opened. Now, it's chains are broken. An ancient force unleased again. As I enter the portal. I feel the enchantment. It takes me away, away from here. Come near me. Enter my private chambers. I want to feel the warmth on my face. Light-in darkness. Lift me up from here. Give me you wings. To flee from my ivory tower. As I enter the portal. I feel the enchantment. The stars above are lying at my feet. Come near me. Enter my private chambers. I want to feel the warmth on my face. Light-in darkness. Lift me up from here. Give me you wings. To flee from my ivory tower"
faster,I can't see. 'Cause it's burning deep inside. Like gasoline. All fire running wild. No more fear. 'Cause I'm getting closer now. So unreal. But I like it anyhow. And I go faster and faster and faster and faster. And faster and faster and faster. And I can't live in a fairytale of lies. And I can't hide from the feeling 'cause it is right. And I go faster and faster and faster and faster for life. I can't live in a fairytale of lies. I can feel. That you mesmerized my heart. I feel so free. I'm in love I'm breaking out. I won't give in. 'Cause I'm proud of al my scars. And I can see. I've been wasting too much time. And I go faster and faster and faster and faster. And faster and faster and faster. And I can't live in a fairytale of lies. And I can't hide from the feeling 'cause it is right. And I go faster and faster and faster and faster for love. I can't live in a fairytale of lies. And I can't live in a fairytale of lies. And I can't hide from the feeling 'cause it is right. And I go faster and faster and faster and faster for love. I can't live in a fairytale of lies. A fairytale of lies
final destination,"I escaped my final moment. But it's turning back at me. On every corner I can feel it waiting. Just a moment, no awareness. I could easily slip away. And then I'll be gone forever. I'm searching,. I'm fighting for a way to get through. To turn it away. It's waiting, always trying. I feel the hands of fate, they're suffocating. Tell me what's the reason. Is it all inside my head. Can't take it no more!. All around me I see danger. And it's closing in on me. Every second I can hear it breathing. I can't stand the fear inside me. Cause it's leading me astray. And it will be my ending. I'm searching. I'm fighting for a way to get through. To turn it away. It's waiting, always trying. I feel the hands of fate, they're suffocating. Tell me what's the reason. Is it all inside my head. Can't take it no more!. But now I'll face what's coming my way.. And I will let my fear fade away. Whatever may be, I'll have to find out.. It's waiting, always trying.. I feel the hands of fate. They're suffocating.. Tell me what's the reason?. Is it all inside my head?. Can't take it no more"
fire and ice,"Every word you're saying is a lie. Run away my dear. But every sign will say. Your heart is dead. Bury all the memories. Cover them with dirt. Where's the love we once had. Our destiny's unsure. Why can't you see what we had. Let the fire burn the ice. Where's the love we once had. Is it all a lie. And I still wonder. Why heaven has died. The skies are all falling. I'm breathing but why. In silence I hold on. To you and I. Closer to insantiy. Buries me alive. Where's the life we once had. It cannot be denied. Why can't you see what we had. Let the fire burn the ice. Where's the love we once had. Is it all a lie. And I still wonder. Why heaven has died. The skies are all falling. I'm breathing but why. In silence I hold on. To you and I. You run away, you hide away. To the other side of the universe. Where you're safe from all that hunts you down. But the world has gone, where you belong. And it feels too late so you're moving on. Can you find your way back home. And I still wonder. Why heaven has died. The skies are all falling. I'm breathing but why. In silence I hold on. To you and I. Every word you're saying is a lie"
forgiven,"Love you so it hurts my soul. Can you forgive me for trying again. Your silence makes me hold my breath. Time has passed you by. Oh, for so long I've tried to shield you from the world. Oh, you couldn't face the freedom on your own. Here I am left in silence. You gave up the fight. You left me behind. All that's done's forgiven. You'll always be mine. I know deep inside. All that's done's forgiven. I watched the clouds drifting away. Still the sun can't warm my face. I know it was destined to go wrong. You were looking for the great escape. To chase your demons away. Oh, for so long I've tried to shield you from the world. Oh, you couldn't face the freedom on your own. Here I am left in silence. You gave up the fight. You left me behind. All that's done's forgiven. You'll always be mine. I know deep inside. All that's done's forgiven. I've been so lost since you've gone. Why not me before you?. Why did fate deceive me?. Everything turned out so wrong. Why did you leave me in silence?. You gave up the fight. You left me behind. All that's done's forgiven. You'll always be mine. I know deep inside. All that's done's forgiven"
forsaken,"Now the day has come. We are forsaken this time. We lived our lives in our paradise. As gods we shaped the world around. No borderlines we'd stay behind. Though balance is something fragile. While we thought we were gaining. We would turn back the tide, it still slips away. Our time has run out, our future has died. There's no more escape. Now the day has come. We are forsaken. There's no time anymore. Life will pass us by. We are forsaken. We're the last of our kind. The sacrifice was much too high. Our greed just made us all go blind. We tried to hide what we feared inside. Today is the end of tomorrow. As the sea started rising. The land that we'd conquered just washed away. Although we all have tried to turn back the tide. It was all in vain. Now the day has come. We are forsaken. There's no time anymore. Life will pass us by. We are forsaken. Only ruins stay behind. Now the day has come. We are forsaken this time. Now the day has come. We are forsaken. There's no time anymore. Now the day has come. The day has come. The day has come"
frozen,"I can't feel my senses. I just feel the cold. All colors seem to fade away. I can't reach my soul. I would stop running. If I knew there was a chance. It tears me apart to sacrifice it all. But I'm forced to let go. Tell me I'm frozen but what can I do?. Can't tell the reasons I did it for you. When lies turn into truth I sacrificed for you. You say that I'm frozen but what can I do?. I can feel your sorrow. You won't forgive me. But I know you'll be all right. It tears me apart that you will never know. But I have to let go. Tell me I'm frozen but what can I do?. Can't tell the reasons I did it for you. When lies turn into truth I sacrificed for you. You say that I'm frozen but what can I do?. Everything will slip away. Shattered peaces will remain. When memories fade into emptiness. Only time will tell its tale. If it all has been in vain. I can't feel my senses. I just feel the cold. Frozen.... But what can I do?. Frozen.... Tell me I'm frozen but what can I do?. Can't tell the reasons I did it for you. When lies turn into truth I sacrificed for you. You say that I'm frozen, frozen..."
gothic christmas,"We're gonna have a gothic christmas. That is what we'll do. We're gonna have a gothic christmas. Hope you'll have one too. Santa's going to wear a black dress. Just for me and you. Santa's going to grunt in latin. And slay a dragon or two. Rudolph, he will change his name. 'Cause Rudolph just sounds pretty lame. Now we'll call him Ragnagord. The evil reindeer overlord. His nose it shall be red no more. It will be blackened to the core. His eyes will glow an evil glow. To guide the chariot through the snow. We want to wish you a gothic christmas. We want to wish you a gothic christmas. We want to wish you a gothic christmas. We want to wish you a gothic christmas. We're gonna have a gothic christmas. That is what we'll do. We're gonna have a gothic christmas. Hope you'll have one too. We want to wish you a gothic christmas. We want to wish you a gothic christmas. We're gonna wish you a gothic christmas. Hope you'll have a gothic christmas too"
grace,"Cold are the bones of thy soldiers. Longing for home, their little paradise. I don't feel remdeption on their side. Fallen from grace, help me rise again. Fallen from grace, help me through. Fallen from grace, help me through. Fallen from grace. Feel these hands, the pressure, the cold, tremble. Do you hear these words?. Do you feel the wounds?. I'll never help you through. Cold are thy souls. I feel resentment. They feel betrayed. They hate the cold. I don't feel redemption on their side. Fallen from grace, help me rise again. Fallen from grace, help me through"
hand of sorrow,"The child without a name grew up to be the hand. To watch you, to shield you or kill on demand. The choice he'd made he could not comprehend. His blood a grim secret they had to command. He's torn between his honor and the true love of his life. He prayed for both but was denied. So many dreams were broken and so much was sacrificed. Was it worth the ones we loved and had to leave behind?. So many years have past, who are the noble and the wise?. Will all our sins be justified?. The curse of his powers tormented his life. Obeying the crown was a sinister price. His soul was tortured by love and by pain. He surely would flee but the oath made him stay. He's torn between his honor and the true love of his life. He prayed for both but was denied. So many dreams were broken and so much was sacrificed. Was it worth the ones we loved and had to leave behind?. So many years have past, who are the noble and the wise?. Will all our sins be justified?. Please forgive me for the sorrow, for leaving you in fear. For the dreams we had to silence, that's all they'll ever be. Still I'll be the hand that serves you. Though you'll not see that it is me. So many dreams were broken and so much was sacrificed. Was it worth the ones we loved and had to leave behind?. So many years have past, who are the noble and the wise?. Will all our sins be justified?"
ice queen,"When leaves have fallen. And skies turned into grey. The night keeps on closing in on the day. A nightingale sings his song of farewell. You better hide for her freezing hell. On cold wings she's coming. You better keep moving. For warmth, you'll be longing. Come on just feel it. Don't you see it?. You better believe. When she embraces. Your heart turns to stone. She comes at night when you are all alone. And when she whispers. Your blood shall run cold. You better hide before she finds you. Whenever she is raging. She takes all life away. Haven't you seen?. Haven't you seen?. The ruins of our world. Whenever she is raging. She takes a life away. Haven't you seen?. Haven't you seen?. The ruins of our world. She covers the earth with a breathtaking cloak. The sun awakes and melts it away. The world now opens its eyes and sees. The dawning of a new day. On cold wings she's coming. You better keep moving. For warmth, you'll be longing. Come on just feel it. Don't you see it?. You better believe. Whenever she is raging. She takes all life away. Haven't you seen?. Haven't you seen?. The ruins of our world. Whenever she is raging. She takes all life away. Haven't you seen?. Haven't you seen?. The ruins of our world"
in perfect harmony,"At the end of a closing day. A little child was born and raised. Deep in the forest on a hidden place. Mother never saw his face. Ancient spirits of the forest. Made him king of elves and trees. He was the only human being. Who lived in harmony. In perfect harmony. Ancient spirits of the forest. Made him king of elves and trees. He was the only human being. Who lived in harmony. In perfect harmony. The woods protected, fullfilled his needs. Fruit by birds, honey by bees. He found shelter under trees. He grew up in their company. They became his family. Ancient spirits of the forest. Made him king of elves and trees. He was the only human being. Who lived in harmony. In perfect harmony. Ancient spirits of the forest. Made him king of elves and trees. He was the only human being. Who lived in harmony. In perfect harmony. A thousand seasons. They passed him by. So many times, have said goodbye. And when the spirits called out his name. To join forever, forever to stay. A forest spirit he became. Ancient spirits of the forest. Made him king of elves and trees. He was the only human being. Who lived in harmony. In perfect harmony. Ancient spirits of the forest. Made him king of elves and trees. He was the only human being. Who lived in harmony. In perfect harmony. In perfect harmony. Spirits of the forest. Made him king of elves and trees. He was the only human being. Who lived in harmony. In perfect harmony. . Ancient spirits of the forest. Made him king of elves and trees. He was the only human being. Who lived in harmony. In perfect harmony. In perfect harmony"
in the middle of the night,"Ooooh, ooooh. Ooooh, ooooh. Ooooh, ooooh. Ooooh, ooooh. I've been walking this road of desire. I've been begging for blood on the wall. I don't care if I'm playing with fire. I'm aware that I'm frozen inside. I have known all along. So much more going on, no denying. But I know I'm not standing alone. You've been playing my mind through my wishes. You can feel that we're haunting the truth. Don't know I can't hold on always losing control. In the middle of the night. I don't understand what's going on. It's a world gone astray. In the middle of the night. I can't let it out. Someone keeps searching. And shatters your life. It will never be afraid. In the middle of the night. No more tears. No, 'cause nothing else matters. I've been closing my eyes for too long. Only vengeance will make me feel better. There's no rest 'till I know that it's done. You've been playing my mind through my wishes. You can feel that we're haunting the truth. Don't know I can't hold on always losing control. In the middle of the night. I don't understand what's going on. It's a world gone astray. In the middle of the night. I can't let it out. Someone keeps searching. And shatters your life. It will never be afraid. In the middle of the night. In the middle of the night. In the middle of the night. In the middle of the night. I don't understand what's going on. It's a world gone astray. In the middle of the night. I can't let it out. Someone keeps searching. And shatters your life. It will never be afraid. In the middle of the night"
iron,"Left in the darkness, here on your own. Woke up a memory, feeling the pain. You cannot deny it, there's nothing to say. It's all that you need to find the way. Oh, damn, the war is coming. Oh, damn, you feel you want it. Oh, damn, just bring it on today. You can't live without the fire. It's the heat that makes you strong. 'Cause you're born to live and fight it all the way. You can hide what lies inside you. It's the only thing you know. You're embracing that, never walk away. Don't walk away. Don't walk away. Don't walk away. Don't walk away. Raised in this madness, you're on your own. It made you fearless, nothing to lose. Dreams are a drug here, they get in your way. That's what you need to fight day by day. Oh, damn, the war is coming. Oh, damn, you feel you want it. Oh, damn, just bring it on today. You can't live without the fire. It's the heat that makes you strong. 'Cause you're born to live and fight it all the way. You can hide what lies inside you. It's the only thing you know. You're embracing that, never walk away. Don't walk away. You need not to fear us, unless you're a dark heart. A vile one, who preys on the innocent. I promise, you can't hide forever in the empty darkness. For we'll hunt you down, like the animals you are. And pull you in the very bowels of hell. Oh, damn, the war is coming. Oh, damn, you feel you want it. Oh, damn, just bring it on today. You can't live without the fire. It's the heat that makes you strong. 'Cause you're born to live and fight it all the way. You can hide what lies inside you. It's the only thing you know. You're embracing that, never walk away. Don't walk away. Don't walk away. Don't walk away. Don't walk away"
its the fear,"It waits for the day I will let it out. To give it a reason, to give its might. I fear who I am becoming. I feel that I am losing the struggle within. I can no longer restrain it. My strength it is fading. I have to give in. It's the fear. Fear of the dark. It's growing inside of me. That one day will come to life. Have to save. To save my beloved. There is no escape. Because my faith is horror and doom. Hold down your head now. Just let me pass by. Don't feed my fear. If you don't want it out. I fear who I am becoming. I feel that I am losing. All beauty within. I can no longer restrain it. My strength is fading. I have to give in. It's the fear. Fear of the dark. It's growing inside of me. That one day will come to life. Have to save. To save my beloved. There is no escape. Because my faith is horror and doom. Long ago it came to me. And ever since that day. Infected with its rage. But it ends today. It's the fear. Fear of the dark. It's growing inside of me. That one day will come to life. Have to save. To save my beloved. There is no escape. Because my faith is horror and doom"
jane doe,"Run away, hide away. The secrets in your life. Sacrificed just her life. For a higher love. No matter how many stones you put inside. She always keeps on floating in your mind. With every turn of your head you see her face again. Until the end, over and over again. Why, you just won't leave my mind. Was this the only way. I couldn't let you stay. Told the truth she laughed at you. Something snapped inside. She had to go or they would know. All you tried to hide. The sins of your life are now catching up with you. You can't stay ahead, there's nothing you can do. With every turn of your head you see her face again. Until the end, over and over again. Why, you just won't leave my mind. Was this the only way. I couldn't let you stay. Why, you just won't leave my mind. Was this the only way. I couldn't let you stay. Why, you just won't leave my mind. Was this the only way. I couldn't let you stay"
jillian,"To find a meaning to understand. The secret of life. Why am I here to try again?. Will I always, will you always. See the truth when it stares you in the face?. Will I ever, will I never free myself. By breaking these chains?. I'd give my heart, I'd give my soul. I'd turn it back, it's my fault. Your destiny is forlorn. Have to live till it's undone. I'd give my heart, I'd give my soul. I'd turn it back. And then at last I'll be on my way. I've been living for so long. Many seasons have passed me by. I've seen kingdoms through ages. Rise and fall, I've seen it all. I've seen the horror, I've seen the wonders. Happening just in front of my eyes. Will I ever, will I never free myself. By making it right?. I'd give my heart, I'd give my soul. I'd turn it back, it's my fault. Your destiny is forlorn. Have to live till it's undone. I'd give my heart, I'd give my soul. I'd turn it back. And then at last I'll be on my way. Jillian, our dream ended long ago. All our stories and all our glory. I held so dear. We won't be together. For ever and ever, no more tears. I'll always be here until the end. Jillian, no more tears.... Jillian, no more tears.... I'd give my heart, I'd give my soul. I'd turn it back, it's my fault. Your destiny is forlorn. Have to live till it's undone. I'd give my heart, I'd give my soul. I'd turn it back. And then at last I'll be on my way"
lost,"My hope is on fire. My dreams are for sale. I dance on a wire. I don't want to fail her. I walk against the stream. Far from what I believe in. I run towards the end. Trying not to give in. She's lost in the darkness. Fading away. I'm still around here. Screaming her name. She's haunting my dreamworld. Trying to survive. My heart is frozen. I'm losing my mind. Help me, I'm buried alive. Buried alive. I'm burning the bridges. And there's no return. I'm trying to reach her. I feel that she yearns. I walk against the stream. Far from what I believe in. I run towards towards the end. Trying not to give in. She's lost in the darkness. Fading away. I'm still around here. Screaming her name. She's haunting my dreamworld. Trying to survive. My heart is frozen. I'm losing my mind. Help me, I'm buried alive. Buried alive. I tried to revive what's already drowned. They think I'm a fool. Can't realise,. Hope plays a wicked game with the mind. 'Cause I thought that love would bind. I cannot revive what's already drowned. She won't come around. She's lost in the darkness. Fading away. I'm still around here. Screaming her name. She's haunting my dreamworld. Trying to survive. My heart is frozen. I'm losing my mind. Help me, I'm buried alive. Buried alive"
memories,"In this world you tried. Not leaving me alone behind. There's no other way. I prayed to the gods let him stay. The memories ease the pain inside. Now I know why. All of my memories keep you near. In silent moments imagine you'd be here. All of my memories keep you near. Your silent whispers, silent tears. Made my promise I'd try. To find my way back in this life. I hope there is a way. To give me a sign you're ok. Reminds me again it's worth it all. So I can go on. All of my memories keep you near. In silent moments imagine you'd be here. All of my memories keep you near. Your silent whispers, silent tears. Together in all these memories I see your smile. All the memories I hold dear. Darling, you know I'll love you. Until the end of time. All of my memories keep you near. In silent moments imagine you'd be here. All of my memories keep you near. Your silent whispers, silent tears. All of my memories..."
mother earth,Birds and butterflies. Rivers and mountains she creates. But you'll never know. The next move she'll make. You can try. But it is useless to ask why. Cannot control her. She goes her own way. She rules until the end of time. She gives and she takes. She rules until the end of time. She goes her own way. With every breath. And all the choice that we make. We are only passing through on her way. I find my strenght. Believing that your soul lives on. Until the end of time. I'll carry it with me. She rules until the end of time. She gives and she takes. She rules until the end of time. She goes her own way. (mannenkoor). Once you will know my dear. You don't have to fear. A new beginning always starts at the end. Once you will know my dear. You don't have to fear. Until the end of time. Until the end of time. Until the end of time. She goes her own way. She rules until the end of time. She gives and she takes. She rules until the end of time. Until the end of time. Until the end of time. She goes her own way
murder,"I've been around these vicious lies too. Too long to be neglecting the truth. I'm getting closer and I'm fully armed. I'm about to hunt you down through. The big black hole right behind you. And I'm about to cut your wings away. 'Cause I've been finding out. Where you've broken in. And I will take you out. When I close you in. I'm killing them all, I put my soul on the line. I purify sins, that I committed in life. I'll follow them all and I'll be bringing them down. Wherever they go, I'm right behind. There's nowhere to go, your head on the line. There is no rope, you're running out of time. So where will you go, when I will murder your soul. I'm about to do it your way. I will make your world unsafe. I never thought you'd get this far. You don't believe what all the signs say. I don't believe in judgment day. But you won't be leaving here unharmed. 'Cause I've been finding out. Where you've broken in. And I will take you out. When I close you in. I'm killing them all, I put my soul on the line. I purify sins, that I committed in life. I'll follow them all and I'll be bringing them down. Wherever they go, I'm right behind. There's nowhere to go, your head on the line. There is no rope, you're running out of time. So where will you go, when I will murder your soul. You can't feel the pain. I scream in vain. You sink away. To the bottom. You can't break your chains. Break away from here. I'm killing them all, I put my soul on the line. I purify sins, that I committed in life. I'll follow them all and I'll be bringing them down. Wherever they go, I'm right behind. There's nowhere to go, your head on the line. There is no rope, you're running out of time. So where will you go, when I will murder your soul"
